run_id	group	dataset	dirichlet	method	topology	alpha	beta	seed	config_file	status	scenario_name	final_accuracy
001	exp1	CIFAR10	dir03	DFedAvg	Ring	0.25	0.75	42	001_exp1_cifar10_dir03_DFedAvg_ring_a0.25_b0.75_s42.json	completed	nebula_DFL_2026_08_04_12_32_32	0.6677
002	exp1	CIFAR10	dir03	DFedAvg	Ring	0.25	0.75	43	002_exp1_cifar10_dir03_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
003	exp1	CIFAR10	dir03	DFedAvg	Ring	0.25	0.75	44	003_exp1_cifar10_dir03_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
004	exp1	CIFAR10	dir03	DFedSAM	Ring	0.25	0.75	42	004_exp1_cifar10_dir03_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
005	exp1	CIFAR10	dir03	DFedSAM	Ring	0.25	0.75	43	005_exp1_cifar10_dir03_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
006	exp1	CIFAR10	dir03	DFedSAM	Ring	0.25	0.75	44	006_exp1_cifar10_dir03_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
007	exp1	CIFAR10	dir03	Pseu-DFedAvg	Ring	0.25	0.75	42	007_exp1_cifar10_dir03_Pseu_DFedAvg_ring_a0.25_b0.75_s42.json	calibrated	nebula_DFL_2026_08_04_09_50_04	0.7225
008	exp1	CIFAR10	dir03	Pseu-DFedAvg	Ring	0.25	0.75	43	008_exp1_cifar10_dir03_Pseu_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
009	exp1	CIFAR10	dir03	Pseu-DFedAvg	Ring	0.25	0.75	44	009_exp1_cifar10_dir03_Pseu_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
010	exp1	CIFAR10	dir03	Pseu-DFedSAM	Ring	0.25	0.75	42	010_exp1_cifar10_dir03_Pseu_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
011	exp1	CIFAR10	dir03	Pseu-DFedSAM	Ring	0.25	0.75	43	011_exp1_cifar10_dir03_Pseu_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
012	exp1	CIFAR10	dir03	Pseu-DFedSAM	Ring	0.25	0.75	44	012_exp1_cifar10_dir03_Pseu_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
013	exp1	CIFAR10	dir06	DFedAvg	Ring	0.25	0.75	42	013_exp1_cifar10_dir06_DFedAvg_ring_a0.25_b0.75_s42.json	pending		
014	exp1	CIFAR10	dir06	DFedAvg	Ring	0.25	0.75	43	014_exp1_cifar10_dir06_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
015	exp1	CIFAR10	dir06	DFedAvg	Ring	0.25	0.75	44	015_exp1_cifar10_dir06_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
016	exp1	CIFAR10	dir06	DFedSAM	Ring	0.25	0.75	42	016_exp1_cifar10_dir06_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
017	exp1	CIFAR10	dir06	DFedSAM	Ring	0.25	0.75	43	017_exp1_cifar10_dir06_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
018	exp1	CIFAR10	dir06	DFedSAM	Ring	0.25	0.75	44	018_exp1_cifar10_dir06_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
019	exp1	CIFAR10	dir06	Pseu-DFedAvg	Ring	0.25	0.75	42	019_exp1_cifar10_dir06_Pseu_DFedAvg_ring_a0.25_b0.75_s42.json	pending		
020	exp1	CIFAR10	dir06	Pseu-DFedAvg	Ring	0.25	0.75	43	020_exp1_cifar10_dir06_Pseu_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
021	exp1	CIFAR10	dir06	Pseu-DFedAvg	Ring	0.25	0.75	44	021_exp1_cifar10_dir06_Pseu_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
022	exp1	CIFAR10	dir06	Pseu-DFedSAM	Ring	0.25	0.75	42	022_exp1_cifar10_dir06_Pseu_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
023	exp1	CIFAR10	dir06	Pseu-DFedSAM	Ring	0.25	0.75	43	023_exp1_cifar10_dir06_Pseu_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
024	exp1	CIFAR10	dir06	Pseu-DFedSAM	Ring	0.25	0.75	44	024_exp1_cifar10_dir06_Pseu_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
025	exp1	CIFAR100	dir03	DFedAvg	Ring	0.25	0.75	42	025_exp1_cifar100_dir03_DFedAvg_ring_a0.25_b0.75_s42.json	pending		
026	exp1	CIFAR100	dir03	DFedAvg	Ring	0.25	0.75	43	026_exp1_cifar100_dir03_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
027	exp1	CIFAR100	dir03	DFedAvg	Ring	0.25	0.75	44	027_exp1_cifar100_dir03_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
028	exp1	CIFAR100	dir03	DFedSAM	Ring	0.25	0.75	42	028_exp1_cifar100_dir03_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
029	exp1	CIFAR100	dir03	DFedSAM	Ring	0.25	0.75	43	029_exp1_cifar100_dir03_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
030	exp1	CIFAR100	dir03	DFedSAM	Ring	0.25	0.75	44	030_exp1_cifar100_dir03_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
031	exp1	CIFAR100	dir03	Pseu-DFedAvg	Ring	0.25	0.75	42	031_exp1_cifar100_dir03_Pseu_DFedAvg_ring_a0.25_b0.75_s42.json	pending		
032	exp1	CIFAR100	dir03	Pseu-DFedAvg	Ring	0.25	0.75	43	032_exp1_cifar100_dir03_Pseu_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
033	exp1	CIFAR100	dir03	Pseu-DFedAvg	Ring	0.25	0.75	44	033_exp1_cifar100_dir03_Pseu_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
034	exp1	CIFAR100	dir03	Pseu-DFedSAM	Ring	0.25	0.75	42	034_exp1_cifar100_dir03_Pseu_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
035	exp1	CIFAR100	dir03	Pseu-DFedSAM	Ring	0.25	0.75	43	035_exp1_cifar100_dir03_Pseu_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
036	exp1	CIFAR100	dir03	Pseu-DFedSAM	Ring	0.25	0.75	44	036_exp1_cifar100_dir03_Pseu_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
037	exp1	CIFAR100	dir06	DFedAvg	Ring	0.25	0.75	42	037_exp1_cifar100_dir06_DFedAvg_ring_a0.25_b0.75_s42.json	pending		
038	exp1	CIFAR100	dir06	DFedAvg	Ring	0.25	0.75	43	038_exp1_cifar100_dir06_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
039	exp1	CIFAR100	dir06	DFedAvg	Ring	0.25	0.75	44	039_exp1_cifar100_dir06_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
040	exp1	CIFAR100	dir06	DFedSAM	Ring	0.25	0.75	42	040_exp1_cifar100_dir06_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
041	exp1	CIFAR100	dir06	DFedSAM	Ring	0.25	0.75	43	041_exp1_cifar100_dir06_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
042	exp1	CIFAR100	dir06	DFedSAM	Ring	0.25	0.75	44	042_exp1_cifar100_dir06_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
043	exp1	CIFAR100	dir06	Pseu-DFedAvg	Ring	0.25	0.75	42	043_exp1_cifar100_dir06_Pseu_DFedAvg_ring_a0.25_b0.75_s42.json	pending		
044	exp1	CIFAR100	dir06	Pseu-DFedAvg	Ring	0.25	0.75	43	044_exp1_cifar100_dir06_Pseu_DFedAvg_ring_a0.25_b0.75_s43.json	pending		
045	exp1	CIFAR100	dir06	Pseu-DFedAvg	Ring	0.25	0.75	44	045_exp1_cifar100_dir06_Pseu_DFedAvg_ring_a0.25_b0.75_s44.json	pending		
046	exp1	CIFAR100	dir06	Pseu-DFedSAM	Ring	0.25	0.75	42	046_exp1_cifar100_dir06_Pseu_DFedSAM_ring_a0.25_b0.75_s42.json	pending		
047	exp1	CIFAR100	dir06	Pseu-DFedSAM	Ring	0.25	0.75	43	047_exp1_cifar100_dir06_Pseu_DFedSAM_ring_a0.25_b0.75_s43.json	pending		
048	exp1	CIFAR100	dir06	Pseu-DFedSAM	Ring	0.25	0.75	44	048_exp1_cifar100_dir06_Pseu_DFedSAM_ring_a0.25_b0.75_s44.json	pending		
049	exp3	CIFAR10	dir03	DFedAvg	Random	0.25	0.75	42	049_exp3_cifar10_dir03_DFedAvg_random_a0.25_b0.75_s42.json	pending		
050	exp3	CIFAR10	dir03	Pseu-DFedAvg	Random	0.25	0.75	42	050_exp3_cifar10_dir03_Pseu_DFedAvg_random_a0.25_b0.75_s42.json	pending		
051	exp3	CIFAR10	dir03	DFedAvg	Fully	0.25	0.75	42	051_exp3_cifar10_dir03_DFedAvg_fully_a0.25_b0.75_s42.json	pending		
052	exp3	CIFAR10	dir03	Pseu-DFedAvg	Fully	0.25	0.75	42	052_exp3_cifar10_dir03_Pseu_DFedAvg_fully_a0.25_b0.75_s42.json	pending		
053	exp4_alpha	CIFAR10	dir03	Pseu-DFedAvg	Ring	0.05	0.75	42	053_exp4_alpha_cifar10_dir03_Pseu_DFedAvg_ring_a0.05_b0.75_s42.json	pending		
054	exp4_alpha	CIFAR10	dir03	Pseu-DFedAvg	Ring	0.1	0.75	42	054_exp4_alpha_cifar10_dir03_Pseu_DFedAvg_ring_a0.1_b0.75_s42.json	pending		
055	exp4_alpha	CIFAR10	dir03	Pseu-DFedAvg	Ring	0.5	0.75	42	055_exp4_alpha_cifar10_dir03_Pseu_DFedAvg_ring_a0.5_b0.75_s42.json	pending		
056	exp4_beta	CIFAR10	dir03	Pseu-DFedAvg	Ring	0.25	0.5	42	056_exp4_beta_cifar10_dir03_Pseu_DFedAvg_ring_a0.25_b0.5_s42.json	pending		
